1,srinjoy,srinjoycal@gmail.com,"[""mobile: 587-968-4188"", ""home: 403-239-2404""]"
2,roni,roni@gmail.com,"[""mobile: 999-999-9999""]"
3,another1,kk@yahoo.ca,"[""office : 990-999-3333""]"
4,ll,ll@gmail.com,[]
5,jake,ro@ro.com,"[""office: 30-5550333-33""]"
6,john,smith@gm.com,"[""home: 320-509-3333""]"
1,srinjoy,srinjoycal@gmail.com,"[""mobile: 587-968-4188"", ""home: 403-239-2404""]"
2,roni,roni@gmail.com,"[""mobile: 999-999-9999""]"
3,another1,kk@yahoo.ca,"[""office : 990-999-3333""]"
4,ll,ll@gmail.com,[]
5,jake,ro@ro.com,"[""office: 30-5550333-33""]"
6,john,smith@gm.com,"[""home: 320-509-3333""]"
1,srinjoy,srinjoycal@gmail.com,"[""mobile: 587-968-4188"", ""home: 403-239-2404""]"
2,roni,roni@gmail.com,"[""mobile: 999-999-9999""]"
3,another1,kk@yahoo.ca,"[""office : 990-999-3333""]"
4,ll,ll@gmail.com,[]
5,jake,ro@ro.com,"[""office: 30-5550333-33""]"
6,john,smith@gm.com,"[""home: 320-509-3333""]"
